eventID,eventRemarks,parentEventID,eventDate,locationID,locality,decimalLatitude,decimalLongitude,footprintWKT,geodeticDatum,waterBody,countryCode,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol
UWPHHCZoop_CB982-20120806UNN,stationVisit,UWPHHCZoop_CB982,2012-08-06T21:35:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,50.0,
UWPHHCZoop_CB982-20120808HPN,stationVisit,UWPHHCZoop_CB982,2012-08-08T00:28:00-0700,HP,Hoodsport,47.581,-122.986,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,102.0,
UWPHHCZoop_CB982-20120808DUD,stationVisit,UWPHHCZoop_CB982,2012-08-08T18:49:00-0700,DU,Duckabush,47.404,-123.125,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,165.0,
UWPHHCZoop_CB982-20120809DBN,stationVisit,UWPHHCZoop_CB982,2012-08-09T22:49:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,70.0,
UWPHHCZoop_CB982-20120810DBN,stationVisit,UWPHHCZoop_CB982,2012-08-10T00:29:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,70.0,
UWPHHCZoop_CB986-20120902UND,stationVisit,UWPHHCZoop_CB986,2012-09-02T14:32:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,62.0,
UWPHHCZoop_CB986-20120902UNN,stationVisit,UWPHHCZoop_CB986,2012-09-02T21:34:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,70.0,
UWPHHCZoop_CB986-20120903HPD,stationVisit,UWPHHCZoop_CB986,2012-09-03T17:51:00-0700,HP,Hoodsport,47.581,-122.986,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,112.0,
UWPHHCZoop_CB986-20120904DUD,stationVisit,UWPHHCZoop_CB986,2012-09-04T18:13:00-0700,DU,Duckabush,47.404,-123.125,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,165.0,
UWPHHCZoop_CB986-20120905DBD,stationVisit,UWPHHCZoop_CB986,2012-09-05T15:12:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,70.0,
